,title,type,link
504,Market Place / Pushin'  [instr.],Single,https://rateyourmusic.com/release/single/ray-stanley/market-place-pushin-instr/
505,Los Millonarios del Jazz,Album,https://rateyourmusic.com/release/album/los_millonarios_del_jazz/los_millonarios_del_jazz/
506,Red Cadillac And A Black Moustache,Single,https://rateyourmusic.com/release/single/warren_smith/red_cadillac_and_a_black_moustache/
507,Crazy Little Men / Nervous Jervis,Single,https://rateyourmusic.com/release/single/christine_jorgensen/crazy_little_men___nervous_jervis/
508,Singing the Blues,EP,https://rateyourmusic.com/release/ep/tommy-steele/singing-the-blues/
509,Would You Be Happy / It Took One Moment,Single,https://rateyourmusic.com/release/single/vern_pullens/would_you_be_happy___it_took_one_moment/
510,Lonesome Train (On a Lonesome Track) / I Just Found Out,Single,https://rateyourmusic.com/release/single/the_johnny_burnette_trio/lonesome_train__on_a_lonesome_track____i_just_found_out/
511,Crazy Legs / Important Words,Single,https://rateyourmusic.com/release/single/gene-vincent/crazy-legs-important-words/
512,Too Much / Playing for Keeps,Single,https://rateyourmusic.com/release/single/elvis-presley/too-much-playing-for-keeps/
513,Flyin' Saucers Rock & Roll / I Want You Baby,Single,https://rateyourmusic.com/release/single/billy-riley-and-his-little-green-men/flyin-saucers-rock-and-roll-i-want-you-baby/
514,Restless / Ain't Got a Thing,Single,https://rateyourmusic.com/release/single/sonny-burgess/restless-aint-got-a-thing/
515,Strictly Elvis,EP,https://rateyourmusic.com/release/ep/elvis-presley/strictly-elvis/
516,"Move a Little Closer / Go Away, Don't Bother Me",Single,https://rateyourmusic.com/release/single/the-collins-kids/move-a-little-closer-go-away-dont-bother-me/
517,Morning Light / Rock Doc,Single,https://rateyourmusic.com/release/single/louis-jordan/morning-light-rock-doc/
518,Don't Knock the Rock / Calling All Comets,Single,https://rateyourmusic.com/release/single/bill-haley-and-his-comets/dont-knock-the-rock-calling-all-comets/
519,Shake Baby Shake / 40th and Plum,Single,https://rateyourmusic.com/release/single/wayne-raney/shake-baby-shake-40th-and-plum/
520,I'm All Shook Up / Melody for Lovers,Single,https://rateyourmusic.com/release/single/david_hill/im_all_shook_up___melody_for_lovers/
521,Lonesome Train / Honey Hush,Single,https://rateyourmusic.com/release/single/johnny-burnette-and-the-rock-n-roll-trio/lonesome-train-honey-hush/
522,Butterfly / Oo-We Baby,Single,https://rateyourmusic.com/release/single/bill-allen/butterfly-oo-we-baby/
523,"Just Because / Let Me Tell You, Baby",Single,https://rateyourmusic.com/release/single/larry-williams/just-because-let-me-tell-you-baby/
524,Lucille / Send Me Some Lovin',Single,https://rateyourmusic.com/release/single/little-richard/lucille-send-me-some-lovin/
525,Prove It Tonight / Somebody,Single,https://rateyourmusic.com/release/single/the-duponts/prove-it-tonight-somebody/
526,Let's Rock 'n' Roll,Single,https://rateyourmusic.com/release/single/winifred_atwell/lets_rock_n_roll/
527,Don't Knock the Rock / Your Love Is My Love,Single,https://rateyourmusic.com/release/single/alan_dale/dont_knock_the_rock___your_love_is_my_love/
528,Party Doll / My Baby's Gone,Single,https://rateyourmusic.com/release/single/buddy-knox-with-the-rhythm-orchids/party-doll-my-babys-gone/
529,"Blues For Love, Vol. 2",EP,https://rateyourmusic.com/release/ep/fats-domino/blues-for-love-vol-2/
530,Party Doll / I'm Stickin' With You,Single,https://rateyourmusic.com/release/single/roy-brown/party-doll-im-stickin-with-you/
